country,year,gdp
Sri Lanka,2000.0,114541756416.0
Sri Lanka,2023.0,83124224527.7761
Sweden,2000.0,303452356608.0
Sweden,2023.0,461140017969.4495
Switzerland,2000.0,315545354240.0
Switzerland,2023.0,409177787942.5471
Syria,2000.0,125214244864.0
Syria,2023.0,90091929886.49036
Taiwan,2000.0,591153922048.0
Taiwan,2023.0,1053767201724.408
Tajikistan,2000.0,10735321088.0
Tajikistan,2023.0,33486088186.255352
Tanzania,2000.0,39001698304.0
Tanzania,2023.0,135028515137.09737
Thailand,2000.0,579217719296.0
Thailand,2023.0,1054892713266.6802
Togo,2000.0,5742626816.0
Togo,2023.0,8867989824.526249
Trinidad and Tobago,2000.0,24996995072.0
Trinidad and Tobago,2023.0,55237608453.129074
Tunisia,2000.0,71818854400.0
Tunisia,2023.0,90537091506.74608
Turkey,2000.0,785054957568.0
Turkey,2023.0,1882753927766.581
Turkmenistan,2000.0,18299209728.0
Turkmenistan,2023.0,243463106005.295
Uganda,2000.0,28839086080.0
Uganda,2023.0,39645743045.24579
Ukraine,2000.0,253196025856.0
Ukraine,2023.0,559050160782.548
United Arab Emirates,2000.0,160530694144.0
United Arab Emirates,2023.0,874672476540.1804
United Kingdom,2000.0,1889565278208.0
United Kingdom,2023.0,2500577778984.7085
United States,2000.0,12947416940544.0
United States,2023.0,16849829251726.1
Uruguay,2000.0,42357506048.0
Uruguay,2023.0,54298599052.11573
Uzbekistan,2000.0,116875837440.0
Uzbekistan,2023.0,417181191981.9636
Venezuela,2000.0,330236198912.0
Venezuela,2023.0,708932170462.2128
Vietnam,2000.0,220383068160.0
Vietnam,2023.0,866796943351.7434
World,2000.0,59897668435968.0
World,2023.0,114484668157798.69
Yemen,2000.0,72599511040.0
Yemen,2023.0,60033348396.46872
Zambia,2000.0,15211407360.0
Zambia,2023.0,35022322308.13461
Zimbabwe,2000.0,26765004800.0
Zimbabwe,2023.0,41585004489.33098
